date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:16	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:17%20GMT	http://www.standardrobinbk.com/stanrob-account	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/stanrob-account.0.delayed	(from )
19:44:16	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:17%20GMT	http://www.standardrobinbk.com/advance-account	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/advance-account	(from )
19:44:16	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:18%20GMT	http://www.standardrobinbk.com/student-account	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/student-account	(from )
19:44:16	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:18%20GMT	http://www.standardrobinbk.com/bank-account	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/bank-account	(from )
19:44:17	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:18%20GMT	http://www.standardrobinbk.com/isas	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/isas	(from )
19:44:17	55759/55759	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2023:44:18%20GMT	http://www.standardrobinbk.com/online-bonus-saver	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/online-bonus-saver.html	(from )
19:44:17	55600/55600	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2023:44:19%20GMT	http://www.standardrobinbk.com/flexible-saver	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/flexible-saver.html	(from )
19:44:17	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:19%20GMT	http://www.standardrobinbk.com/32-month-transfer-credit-card	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/32-month-transfer-credit-card	(from )
19:44:18	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:19%20GMT	http://www.standardrobinbk.com/advance-credit-card	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/advance-credit-card	(from )
19:44:18	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:19%20GMT	http://www.standardrobinbk.com/dual-credit-card	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/dual-credit-card	(from )
19:44:18	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:20%20GMT	http://www.standardrobinbk.com/classic-credit-card	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/classic-credit-card	(from )
19:44:18	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:20%20GMT	http://www.standardrobinbk.com/stanrob-credit-card	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/stanrob-credit-card	(from )
19:44:19	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:20%20GMT	http://www.standardrobinbk.com/stanrob-world-elite-mastercard	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/stanrob-world-elite-mastercard	(from )
19:44:19	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:20%20GMT	http://www.standardrobinbk.com/student-credit-card	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/student-credit-card	(from )
19:44:19	41164/41164	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2023:44:21%20GMT	http://www.standardrobinbk.com/ways-to-bank	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/ways-to-bank.html	(from )
19:44:19	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:21%20GMT	http://www.standardrobinbk.com/voice-id	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/voice-id	(from )
19:44:20	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:21%20GMT	http://www.standardrobinbk.com/contact-support	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/contact-support	(from )
19:44:20	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:21%20GMT	http://www.standardrobinbk.com/find-a-branch	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/find-a-branch	(from )
19:44:20	47839/47839	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2023:44:22%20GMT	http://www.standardrobinbk.com/currency-account	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/currency-account.html	(from )
19:44:20	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:22%20GMT	http://www.standardrobinbk.com/international-payments	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/international-payments	(from )
19:44:21	46947/46947	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2023:44:22%20GMT	http://www.standardrobinbk.com/travel-money	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/travel-money.html	(from )
19:44:21	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:22%20GMT	http://www.standardrobinbk.com/personal-loan	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/personal-loan	(from )
19:44:21	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:23%20GMT	http://www.standardrobinbk.com/car-loan	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/car-loan	(from )
19:44:21	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:23%20GMT	http://www.standardrobinbk.com/flexiloan	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/flexiloan	(from )
19:44:22	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:23%20GMT	http://www.standardrobinbk.com/stanrob-personal-loan	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/stanrob-personal-loan	(from )
19:44:22	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:23%20GMT	http://www.standardrobinbk.com/graduate-loan	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/graduate-loan	(from )
19:44:22	69973/69973	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2023:44:24%20GMT	http://www.standardrobinbk.com/overdrafts	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/overdrafts.html	(from )
19:44:22	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:24%20GMT	http://www.standardrobinbk.com/first-time-buyer	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/first-time-buyer.1b.delayed	(from )
19:44:23	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:24%20GMT	http://www.standardrobinbk.com/95-percent-mortgages	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/95-percent-mortgages	(from )
19:44:23	44966/44966	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2023:44:24%20GMT	http://www.standardrobinbk.com/remortgage	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/remortgage.html	(from )
19:44:23	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:25%20GMT	http://www.standardrobinbk.com/buy-to-let	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/buy-to-let	(from )
19:44:23	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:25%20GMT	http://www.standardrobinbk.com/existing-homeowner	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/existing-homeowner	(from )
19:44:24	113217/113217	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2023:44:25%20GMT	http://www.standardrobinbk.com/mortgage-rates	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/mortgage-rates.html	(from )
19:44:24	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20May%202025%2023:44:25%20GMT	http://www.standardrobinbk.com/armed-forces-personnel	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/armed-forces-personnel	(from )
19:44:24	45825/45825	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2023:44:26%20GMT	http://www.standardrobinbk.com/investment-funds	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/investment-funds.html	(from )
19:44:25	68628/68628	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2023:44:26%20GMT	http://www.standardrobinbk.com/world-selection-isa	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/world-selection-isa.html	(from )
19:44:25	62832/62832	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20May%202025%2023:44:26%20GMT	http://www.standardrobinbk.com/sharedealing	C:/Users/USER/Downloads/stbn/www.standardrobinbk.com/sharedealing.html	(from )
